Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.764,0.7361801587301587,0.4772285477941143,0.922,0.31,50.0,50.0,1.0
e5-large-v2,MCQ,0.674,0.5572785714285715,0.46333721321380056,0.896,0.3708,50.0,50.0,1.0
e5-large-v2,T1,0.6802443991853361,0.6068341253677303,0.3665258272079225,0.8004073319755601,0.20773930753564154,50.0,50.0,1.0
e5-large-v2,T2,0.9582366589327146,0.9592420726991493,0.49114739822298137,0.9675174013921114,0.19814385150812067,50.0,50.0,1.0
