Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
all-MiniLM-L6-v2,GQ,0.73,0.5614626984126984,0.5109323308221214,0.884,0.4612,25.0,17.176,0.68704
all-MiniLM-L6-v2,MCQ,0.34,0.17197301587301586,0.20052897719713303,0.57,0.2336,25.0,25.0,1.0
all-MiniLM-L6-v2,T1,0.5560081466395111,0.2963033006821194,0.31904578406408635,0.7780040733197556,0.3608961303462322,25.0,24.462321792260692,0.9784928716904276
all-MiniLM-L6-v2,T2,0.8167053364269141,0.37455713917430855,0.3458102485259857,0.8909512761020881,0.3665893271461717,25.0,24.73317865429234,0.9893271461716937
