Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.844,0.7746103174603175,0.6342925231700095,0.958,0.5332,50.0,50.0,1.0
e5-large-v2,MCQ,0.822,0.6332563492063492,0.601454147428188,0.954,0.5628000000000001,50.0,50.0,1.0
e5-large-v2,T1,0.8716904276985743,0.6846466556751689,0.5587666165347821,0.9368635437881874,0.5063136456211812,50.0,50.0,1.0
e5-large-v2,T2,0.9930394431554525,0.9734145398298532,0.6949522011531614,0.9930394431554525,0.5396751740139211,50.0,50.0,1.0
