Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.764,0.7363690476190476,0.47703374055594955,0.922,0.3092,25.0,25.0,1.0
e5-large-v2,MCQ,0.672,0.557770634920635,0.4632736334269949,0.892,0.3708,25.0,25.0,1.0
e5-large-v2,T1,0.6802443991853361,0.6069327255681635,0.36627447112401673,0.8004073319755601,0.20733197556008148,25.0,25.0,1.0
e5-large-v2,T2,0.9582366589327146,0.9591453982985305,0.4943383221149688,0.9675174013921114,0.20278422273781904,25.0,25.0,1.0
