Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.802,0.7232809523809524,0.6055395872375745,0.926,0.5184,200.0,50.0,0.25
e5-large-v2,MCQ,retrieved_chunk_ids_reranked,50,0.99,0.9539666666666667,0.731870672721433,0.998,0.618,200.0,50.0,0.25
e5-large-v2,T1,retrieved_chunk_ids_reranked,50,0.835030549898167,0.6202025345100701,0.46959448363636086,0.90020366598778,0.3938900203665988,200.0,50.0,0.25
e5-large-v2,T2,retrieved_chunk_ids_reranked,50,0.8329466357308585,0.6145103671785807,0.43605354901198945,0.851508120649652,0.35638051044083524,200.0,50.0,0.25
