Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
e5-large-v2,GQ,1.0,0.792949770861511,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,0.0,0.25326335410655304,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.4
e5-large-v2,GQ,0.5,0.6527418180943738,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,0.5,0.6455032648401046,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.792949770861511,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
e5-large-v2,GQ,1.0,0.6663180938082345,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4
e5-large-v2,GQ,0.5,0.7610359917664038,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.5065267082131061,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6
e5-large-v2,GQ,1.0,0.7753926834409677,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.9577894409822412,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.8831639978253493,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,0.1111111111111111,0.38818599946309174,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,0.0,0.25326335410655304,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.6045023477188619,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.8405335997025313,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.5065267082131061,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2
e5-large-v2,GQ,0.0,0.0,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4
e5-large-v2,GQ,1.0,0.7907890307693969,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.913418141872368,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0
e5-large-v2,GQ,0.3333333333333333,0.6889234657543797,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.6641573537161204,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.7934726301491593,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,0.25,0.7578355960204244,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.792949770861511,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,0.16666666666666666,0.506901335501726,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.8733683229467235,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,1.0,0.9505804163645253,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
