Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.72,0.878,0.17560000000000003,0.804,0.938,0.33640000000000003,0.844,0.958,0.424,0.892,0.986,0.5332,0.934,0.996,0.682,0.7746103174603175,0.6342925231700095,25.0,25.0,1.0
e5-large-v2,MCQ,0.49,0.744,0.14880000000000002,0.748,0.914,0.32280000000000003,0.822,0.954,0.4208,0.908,0.988,0.5628000000000001,0.98,0.998,0.7176,0.6332563492063492,0.601454147428188,25.0,25.0,1.0
e5-large-v2,T1,0.5519348268839104,0.6476578411405295,0.1295315682281059,0.7678207739307535,0.8737270875763747,0.25702647657841143,0.8716904276985743,0.9368635437881874,0.3556008146639511,0.9348268839103869,0.9755600814663951,0.5067209775967414,0.9816700610997964,0.9959266802443992,0.6977596741344196,0.6846951475770212,0.5590209053533527,25.0,25.0,1.0
e5-large-v2,T2,0.9582366589327146,0.9651972157772621,0.19303944315545243,0.9837587006960556,0.988399071925754,0.35638051044083524,0.9907192575406032,0.9930394431554525,0.43944315545243623,0.9930394431554525,0.9976798143851509,0.5396751740139211,0.9976798143851509,1.0,0.6190255220417634,0.9710943542150039,0.6944698396119133,25.0,25.0,1.0
