Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
text-embedding-3-large,GQ,0.282,0.12923492063492062,0.24730662711628765,0.626,0.31160000000000004,25.0,25.0,1.0
text-embedding-3-large,MCQ,0.104,0.05428174603174603,0.15841993277902,0.486,0.2228,25.0,25.0,1.0
text-embedding-3-large,T1,0.13034623217922606,0.07521417256651472,0.15874422031873153,0.46028513238289204,0.1975560081466395,25.0,25.0,1.0
text-embedding-3-large,T2,0.3294663573085847,0.13281681582145619,0.33366085297779213,0.7749419953596288,0.382830626450116,25.0,25.0,1.0
