Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.722,0.7187222222222222,0.41678450272598283,0.888,0.202,10.0,10.0,1.0
e5-large-v2,MCQ,0.484,0.48074841269841273,0.32809876286212875,0.76,0.18480000000000002,10.0,10.0,1.0
e5-large-v2,T1,0.5519348268839104,0.5522144635179258,0.3102545518595605,0.6639511201629328,0.14338085539714868,10.0,10.0,1.0
e5-large-v2,T2,0.9582366589327146,0.9582366589327146,0.49243781414943294,0.9675174013921114,0.20046403712296984,10.0,10.0,1.0
