Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.818,0.7388230158730158,0.6232885380700273,0.942,0.538,200.0,25.0,0.125
e5-large-v2,MCQ,retrieved_chunk_ids_reranked,50,0.974,0.9482722222222223,0.7356052105671274,0.996,0.622,200.0,25.0,0.125
e5-large-v2,T1,retrieved_chunk_ids_reranked,50,0.8778004073319755,0.7156321727604823,0.5380026270832273,0.9185336048879837,0.4509164969450102,200.0,25.0,0.125
e5-large-v2,T2,retrieved_chunk_ids_reranked,50,0.951276102088167,0.7298926453798843,0.5365555583725715,0.9651972157772621,0.4584686774941995,200.0,25.0,0.125
