Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
text-embedding-3-large,GQ,0.818,0.7289515873015874,0.6212602162324945,0.934,0.5404,25.0,25.0,1.0
text-embedding-3-large,MCQ,0.768,0.5394269841269842,0.5578905933535542,0.916,0.5296000000000001,25.0,25.0,1.0
text-embedding-3-large,T1,0.3604887983706721,0.245804642291404,0.2524676868717137,0.5376782077393075,0.254989816700611,25.0,25.0,1.0
text-embedding-3-large,T2,0.9976798143851509,0.974091260634184,0.6811755203059503,1.0,0.5294663573085847,25.0,25.0,1.0
