Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
text-embedding-3-large,GQ,0.664,0.862,0.1724,0.774,0.914,0.32680000000000003,0.818,0.934,0.412,0.868,0.966,0.5404,0.916,0.982,0.6996,0.7289515873015874,0.6212602162324945,25.0,25.0,1.0
text-embedding-3-large,MCQ,0.378,0.7,0.14,0.654,0.868,0.31,0.768,0.916,0.3988,0.882,0.976,0.5296000000000001,0.956,0.996,0.6736,0.5394269841269842,0.5578905933535542,25.0,25.0,1.0
text-embedding-3-large,T1,0.1670061099796334,0.28105906313645623,0.05621181262729125,0.28716904276985744,0.45621181262729127,0.12016293279022404,0.3604887983706721,0.5376782077393075,0.1714867617107943,0.46028513238289204,0.670061099796334,0.254989816700611,0.6313645621181263,0.8391038696537678,0.4195519348268839,0.245804642291404,0.2524676868717137,25.0,25.0,1.0
text-embedding-3-large,T2,0.951276102088167,0.9559164733178654,0.1911832946635731,0.9976798143851509,0.9976798143851509,0.33039443155452436,0.9976798143851509,1.0,0.4180974477958237,0.9976798143851509,1.0,0.5294663573085847,1.0,1.0,0.6273781902552203,0.974091260634184,0.6811755203059503,25.0,25.0,1.0
