Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,0.85,0.7488039682539682,0.6169797202973057,0.954,0.5287999999999999,25.0,25.0,1.0
bge-large-en-v1.5,MCQ,0.796,0.5992063492063492,0.5837352952757189,0.944,0.5444,25.0,25.0,1.0
bge-large-en-v1.5,T1,0.4134419551934827,0.3095278505156306,0.3064697094207231,0.6028513238289206,0.3120162932790224,25.0,25.0,1.0
bge-large-en-v1.5,T2,1.0,0.9702242846094354,0.6830820326491374,1.0,0.5415313225058005,25.0,25.0,1.0
