Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.24,0.11347936507936508,0.22077358151631166,0.56,0.2816,10.0,10.0,1.0
e5-large-v2,MCQ,0.152,0.07106190476190476,0.18816122540018046,0.566,0.24520000000000003,10.0,10.0,1.0
e5-large-v2,T1,0.2240325865580448,0.10151537193288722,0.2766583540202118,0.7128309572301426,0.34745417515274946,10.0,10.0,1.0
e5-large-v2,T2,0.3851508120649652,0.15888115493683938,0.3603560171823467,0.7888631090487239,0.40046403712296985,10.0,10.0,1.0
