Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,0.678,0.842,0.1684,0.79,0.922,0.3148,0.85,0.954,0.41040000000000004,0.894,0.976,0.5287999999999999,0.932,0.996,0.676,0.7488039682539682,0.6169797202973057,25.0,25.0,1.0
bge-large-en-v1.5,MCQ,0.454,0.736,0.14720000000000003,0.704,0.904,0.3164,0.796,0.944,0.4156,0.884,0.974,0.5444,0.962,0.996,0.7096,0.5992063492063492,0.5837352952757189,25.0,25.0,1.0
bge-large-en-v1.5,T1,0.2219959266802444,0.31160896130346233,0.06232179226069247,0.34012219959266804,0.4969450101832994,0.14175152749490838,0.4134419551934827,0.6028513238289206,0.20203665987780042,0.5621181262729125,0.7413441955193483,0.3120162932790224,0.7780040733197556,0.9164969450101833,0.5018329938900203,0.3095278505156306,0.3064697094207231,25.0,25.0,1.0
bge-large-en-v1.5,T2,0.9419953596287703,0.9489559164733179,0.1897911832946636,1.0,1.0,0.3211136890951276,1.0,1.0,0.43341067285382834,1.0,1.0,0.5415313225058005,1.0,1.0,0.6190255220417634,0.9702242846094354,0.6830820326491374,25.0,25.0,1.0
