Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.768,0.7363849206349206,0.47697825404832817,0.926,0.3092,10.0,10.0,1.0
e5-large-v2,MCQ,0.672,0.5571309523809524,0.46278845036524635,0.894,0.37,10.0,10.0,1.0
e5-large-v2,T1,0.6822810590631364,0.6065423657582517,0.3659161051685497,0.8024439918533605,0.2069246435845214,10.0,10.0,1.0
e5-large-v2,T2,0.9582366589327146,0.95918683018451,0.4939956070425833,0.9675174013921114,0.20232018561484919,10.0,10.0,1.0
