Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.24,0.11347936507936508,0.22077358151631166,0.56,0.2816,50.0,50.0,1.0
e5-large-v2,MCQ,0.152,0.0708952380952381,0.18806388800755777,0.566,0.24520000000000003,50.0,50.0,1.0
e5-large-v2,T1,0.2240325865580448,0.10151537193288722,0.2768166736794897,0.7128309572301426,0.3478615071283096,50.0,50.0,1.0
e5-large-v2,T2,0.3851508120649652,0.15894560453725187,0.36198850021267237,0.7888631090487239,0.4037122969837587,50.0,50.0,1.0
