Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
all-MiniLM-L6-v2,GQ,0.0,0.1711851669732523,25,16,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.2110527950887942,25,13,0.52,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.6663180938082345,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.32950322049509406,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.14285714285714285,0.4983454565661294,25,15,0.6,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.25,0.4578362576581589,25,15,0.6,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.700022415881357,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,0.2,0.2803723970470293,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.25,0.6208619272280571,25,15,0.6,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.5827665746016472,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.7507392118437523,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.6918411642343802,25,13,0.52,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,1.0,0.8773708888970287,25,13,0.52,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.5864224010106703,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.18531445602127422,25,15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.6
all-MiniLM-L6-v2,GQ,1.0,0.6045023477188619,25,16,0.64,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
