Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
text-embedding-3-large,GQ,0.02,0.214,0.042800000000000005,0.18,0.478,0.1292,0.282,0.626,0.1956,0.416,0.784,0.31160000000000004,0.596,0.896,0.49319999999999997,0.12923492063492062,0.24730662711628765,25.0,25.0,1.0
text-embedding-3-large,MCQ,0.008,0.138,0.027600000000000003,0.056,0.346,0.0776,0.104,0.486,0.122,0.226,0.694,0.2228,0.376,0.864,0.364,0.05428174603174603,0.15841993277902,25.0,25.0,1.0
text-embedding-3-large,T1,0.032586558044806514,0.17922606924643583,0.03584521384928717,0.08757637474541752,0.3564154786150713,0.08716904276985744,0.13034623217922606,0.46028513238289204,0.12668024439918535,0.20570264765784113,0.5906313645621182,0.1975560081466395,0.3340122199592668,0.7576374745417516,0.3421588594704684,0.07521417256651472,0.15874422031873153,25.0,25.0,1.0
text-embedding-3-large,T2,0.0,0.48491879350348027,0.09698375870069606,0.2111368909512761,0.7262180974477959,0.20696055684454756,0.3294663573085847,0.7749419953596288,0.28306264501160094,0.4617169373549884,0.8422273781902552,0.382830626450116,0.580046403712297,0.888631090487239,0.4965197215777262,0.13281681582145619,0.33366085297779213,25.0,25.0,1.0
