Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
all-MiniLM-L6-v2,GQ,0.0,0.0732095274674965,25,16,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.07989569279756416,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.25326335410655304,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.5,0.4942181161896125,25,14,0.56,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,25,15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.0,25,15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.25326335410655304,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.0,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.18818986646959404,25,15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.15979138559512832,25,15,0.6,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.4
