Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
all-MiniLM-L6-v2,GQ,0.108,0.268,0.0536,0.22,0.496,0.1292,0.29,0.594,0.1844,0.4,0.726,0.2772,0.472,0.83,0.34840000000000004,0.18703095238095238,0.24888118992457428,25.0,17.176,0.68704
all-MiniLM-L6-v2,MCQ,0.002,0.01,0.002,0.026,0.192,0.0388,0.066,0.298,0.066,0.138,0.474,0.1272,0.272,0.658,0.23920000000000002,0.03294047619047619,0.08493491954659203,25.0,25.0,1.0
all-MiniLM-L6-v2,T1,0.008146639511201629,0.06109979633401222,0.012219959266802444,0.06109979633401222,0.3890020366598778,0.08228105906313647,0.13034623217922606,0.539714867617108,0.14338085539714868,0.24032586558044808,0.7556008146639511,0.2525458248472505,0.4378818737270876,0.8961303462321792,0.42851323828920573,0.06352600782336017,0.17363055406058117,25.0,24.462321792260692,0.9784928716904276
all-MiniLM-L6-v2,T2,0.0,0.004640371229698376,0.0009280742459396752,0.016241299303944315,0.3642691415313225,0.07378190255220418,0.07192575406032482,0.5475638051044084,0.12621809744779583,0.2552204176334107,0.7354988399071926,0.24408352668213457,0.4408352668213457,0.8236658932714617,0.37169373549883994,0.04577578904725076,0.15844091997966972,25.0,24.73317865429234,0.9893271461716937
