Embedding,Question_type,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,0.022,0.206,0.0412,0.156,0.452,0.11560000000000001,0.25,0.614,0.18159999999999998,0.414,0.786,0.3048,0.658,0.924,0.5008,0.12236746031746032,0.23813403062752464,25.0,25.0,1.0
bge-large-en-v1.5,MCQ,0.01,0.184,0.036800000000000006,0.1,0.44,0.10760000000000002,0.17,0.578,0.16240000000000002,0.28,0.732,0.2576,0.45,0.89,0.402,0.0777468253968254,0.19694958498914328,25.0,25.0,1.0
bge-large-en-v1.5,T1,0.03054989816700611,0.21792260692464357,0.04358452138492872,0.08757637474541752,0.3869653767820774,0.09857433808553973,0.12627291242362526,0.48879837067209775,0.14582484725050918,0.219959266802444,0.6415478615071283,0.24765784114052955,0.37678207739307534,0.8207739307535642,0.4191446028513239,0.07647496201467689,0.18877228595290918,25.0,25.0,1.0
bge-large-en-v1.5,T2,0.002320185614849188,0.48491879350348027,0.09698375870069606,0.2088167053364269,0.7238979118329466,0.19582366589327146,0.37587006960556846,0.7865429234338747,0.2928074245939675,0.4895591647331787,0.8445475638051044,0.39071925754060327,0.5707656612529002,0.8816705336426914,0.4802784222737819,0.13395297020587044,0.33762738466972153,25.0,25.0,1.0
