Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,0.722,0.7187222222222222,0.4161199392374537,0.888,0.2,50.0,50.0,1.0
e5-large-v2,MCQ,0.484,0.48066507936507935,0.3283667227560564,0.76,0.18560000000000001,50.0,50.0,1.0
e5-large-v2,T1,0.5519348268839104,0.5522063815342838,0.31043651647897985,0.6639511201629328,0.14378818737270876,50.0,50.0,1.0
e5-large-v2,T2,0.9582366589327146,0.9592420726991493,0.49114739822298137,0.9675174013921114,0.19814385150812067,50.0,50.0,1.0
