Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.746,0.6859222222222222,0.5300911486440121,0.858,0.4152,200.0,50.0,0.25
e5-large-v2,MCQ,retrieved_chunk_ids_reranked,50,0.984,0.9444269841269841,0.7011219390912043,0.996,0.5704,200.0,50.0,0.25
e5-large-v2,T1,retrieved_chunk_ids_reranked,50,0.639511201629328,0.36774641968124655,0.3149901883861283,0.7006109979633401,0.3006109979633401,200.0,50.0,0.25
e5-large-v2,T2,retrieved_chunk_ids_reranked,50,0.531322505800464,0.357503774905167,0.24885374044599032,0.5707656612529002,0.18886310904872392,200.0,50.0,0.25
